"","beeID","plantID","monthID","obs"
"1",1,1,2,0
"2",1,1,3,0
"3",1,2,3,0
"4",1,2,4,0
"5",1,2,5,0
"6",1,2,6,0
"7",1,2,7,0
"8",1,3,2,0
"9",1,3,3,0
"10",1,3,4,0
"11",1,3,5,0
"12",1,3,6,0
"13",1,3,7,0
"14",1,3,8,0
"15",1,4,2,0
"16",1,4,3,0
"17",1,4,4,0
"18",1,4,5,0
"19",1,4,6,0
"20",1,4,7,0
"21",1,4,8,0
"22",1,5,3,0
"23",1,5,4,0
"24",1,5,5,0
"25",1,5,6,0
"26",1,5,7,0
"27",1,5,8,0
"28",1,6,5,0
"29",1,6,6,0
"30",1,6,7,0
"31",1,6,8,0
"32",1,7,4,0
"33",1,7,5,0
"34",1,7,6,0
"35",1,7,7,0
"36",1,7,8,0
"37",1,8,4,0
"38",1,8,5,0
"39",1,8,6,0
"40",1,8,7,0
"41",1,8,8,0
"42",1,9,5,0
"43",1,9,6,0
"44",1,9,7,0
"45",1,9,8,0
"46",1,10,5,0
"47",1,10,6,0
"48",1,10,7,0
"49",1,10,8,0
"50",1,11,6,0
"51",1,11,7,0
"52",1,11,8,0
"53",1,12,2,0
"54",1,12,3,0
"55",1,12,4,0
"56",1,12,5,0
"57",1,13,4,0
"58",1,13,5,0
"59",1,14,3,0
"60",1,14,4,0
"61",1,14,5,0
"62",1,14,6,0
"63",1,15,3,0
"64",1,15,4,0
"65",1,15,5,0
"66",1,15,6,0
"67",1,16,3,0
"68",1,16,4,0
"69",1,17,5,0
"70",1,17,6,0
"71",1,17,7,0
"72",1,18,7,0
"73",1,18,8,0
"74",1,19,3,0
"75",1,19,4,0
"76",1,20,4,0
"77",1,20,5,0
"78",1,20,6,0
"79",1,20,7,0
"80",1,20,8,0
"81",1,21,4,0
"82",1,21,5,0
"83",1,21,6,0
"84",1,22,5,0
"85",1,22,6,0
"86",1,22,7,0
"87",1,22,8,0
"88",1,23,3,0
"89",1,23,4,0
"90",1,23,5,0
"91",1,24,3,0
"92",1,24,4,0
"93",1,24,5,0
"94",1,25,3,0
"95",1,25,4,0
"96",1,26,3,0
"97",1,26,4,0
"98",1,26,5,0
"99",1,27,5,0
"100",1,27,6,0
"101",1,27,7,0
"102",1,27,8,0
"103",1,28,4,0
"104",1,28,5,0
"105",1,28,6,0
"106",1,29,4,0
"107",1,29,5,0
"108",1,29,6,0
"109",1,30,6,0
"110",1,30,7,0
"111",1,30,8,0
"112",1,31,2,0
"113",1,31,3,0
"114",1,31,4,0
"115",1,31,5,0
"116",1,32,4,0
"117",1,32,5,0
"118",1,32,6,0
"119",1,32,7,0
"120",1,32,8,0
"121",1,33,4,0
"122",1,33,5,0
"123",1,34,6,0
"124",1,34,7,0
"125",1,34,8,0
"126",1,35,3,0
"127",1,35,4,0
"128",1,35,5,0
"129",1,36,3,0
"130",1,36,4,0
"131",1,36,5,0
"132",1,36,6,0
"133",1,37,6,0
"134",1,37,7,0
"135",1,38,7,0
"136",1,38,8,0
"137",1,39,5,0
"138",1,39,6,0
"139",1,39,7,0
"140",1,39,8,0
"141",1,40,4,0
"142",1,40,5,0
"143",1,40,6,0
"144",1,40,7,0
"145",1,40,8,0
"146",1,41,5,0
"147",1,41,6,0
"148",1,41,7,0
"149",1,41,8,0
"150",1,42,6,0
"151",1,42,7,0
"152",1,42,8,0
"153",1,44,5,0
"154",1,44,6,0
"155",1,44,7,0
"156",1,44,8,0
"157",1,45,5,0
"158",1,45,6,0
"159",1,46,2,0
"160",1,46,3,0
"161",1,46,4,0
"162",1,47,8,0
"163",1,48,2,0
"164",1,48,3,0
"165",1,48,4,0
"166",1,48,5,0
"167",1,48,6,0
"168",1,49,4,0
"169",1,49,5,0
"170",1,49,6,0
"171",1,50,4,0
"172",1,50,5,0
"173",1,50,6,0
"174",1,50,7,0
"175",1,50,8,0
"176",1,51,4,0
"177",1,51,5,0
"178",1,51,6,0
"179",1,51,7,0
"180",1,51,8,0
"181",1,52,5,0
"182",1,52,6,0
